nohup: ignoring input
Submitted batch job 28387210
Submitted batch job 28387213
Submitted batch job 28388583
Submitted batch job 28388616
Submitted batch job 28388617
Submitted batch job 28388620
Submitted batch job 28388621
Submitted batch job 28388638
Submitted batch job 28388640
Submitted batch job 28388641
Submitted batch job 28388645
Submitted batch job 28388647
Submitted batch job 28388648
Submitted batch job 28388652
Submitted batch job 28388653
Submitted batch job 28388658
Submitted batch job 28388661
Submitted batch job 28388700
Submitted batch job 28388702
Submitted batch job 28388704
Submitted batch job 28388728
Submitted batch job 28388729
Submitted batch job 28388732
Submitted batch job 28388733
Submitted batch job 28388740
Submitted batch job 28389455
Submitted batch job 28389456
Submitted batch job 28389474
Submitted batch job 28389477
Submitted batch job 28389480
Submitted batch job 28389481
Submitted batch job 28389482
Submitted batch job 28389483
Submitted batch job 28389484
Submitted batch job 28389491
Submitted batch job 28389492
Submitted batch job 28389494
Submitted batch job 28389495
Submitted batch job 28389498
Submitted batch job 28389500
Submitted batch job 28389503
Submitted batch job 28389511
Submitted batch job 28390278
Submitted batch job 28390337
Submitted batch job 28390381
Submitted batch job 28390391
Submitted batch job 28390401
Submitted batch job 28390404
Submitted batch job 28390420
Submitted batch job 28390425
Submitted batch job 28390430
Submitted batch job 28390458
Submitted batch job 28390476
Submitted batch job 28391031
Submitted batch job 28391035
Submitted batch job 28391037
Submitted batch job 28391039
Submitted batch job 28391040
Submitted batch job 28391041
Submitted batch job 28391089
Submitted batch job 28391411
146
most central:  Box_n50_0_1400
Box_n50_0_1400	 
Box_n50_14_1400	 Prev: Box_n50_0_1400	 distance:1.02
Box_n50_21_1400	 Prev: Box_n50_0_1400	 distance:1.18
Box_n50_33_1400	 Prev: Box_n50_0_1400	 distance:1.04
Box_n50_35_1400	 Prev: Box_n50_0_1400	 distance:1.00
Box_n50_44_1400	 Prev: Box_n50_0_1400	 distance:1.12
Box3_1400 	 Prev: Box_n50_14_1400	 distance:1.52
Box73_1400	 Prev: Box_n50_21_1400	 distance:1.67
Box_n50_36_1400	 Prev: Box_n50_21_1400	 distance:0.81
Box_n50_19_1400	 Prev: Box_n50_33_1400	 distance:1.06
Box_n50_37_1400	 Prev: Box_n50_33_1400	 distance:0.77
Box_n50_42_1400	 Prev: Box_n50_33_1400	 distance:1.22
Box_n50_46_1400	 Prev: Box_n50_33_1400	 distance:1.20
Box_n50_1_1400	 Prev: Box_n50_35_1400	 distance:0.94
Box_n50_26_1400	 Prev: Box_n50_35_1400	 distance:1.15
Box_n50_5_1400	 Prev: Box_n50_44_1400	 distance:0.89
Box_n50_43_1400	 Prev: Box_n50_44_1400	 distance:0.88
Box8_1400 	 Prev: Box3_1400 	 distance:2.47
Box91_1400	 Prev: Box_n50_36_1400	 distance:0.80
Box_n50_28_1400	 Prev: Box_n50_36_1400	 distance:1.11
Box_n50_49_1400	 Prev: Box_n50_36_1400	 distance:0.97
Box56_1400	 Prev: Box_n50_19_1400	 distance:1.59
Box_n50_16_1400	 Prev: Box_n50_19_1400	 distance:1.15
Box_n50_24_1400	 Prev: Box_n50_19_1400	 distance:0.95
Box93_1400	 Prev: Box_n50_37_1400	 distance:1.15
Box33_1400	 Prev: Box_n50_42_1400	 distance:1.79
Box_n50_9_1400	 Prev: Box_n50_42_1400	 distance:1.33
Box87_1400	 Prev: Box_n50_46_1400	 distance:1.32
Box_n50_20_1400	 Prev: Box_n50_46_1400	 distance:1.58
Box66_1400	 Prev: Box_n50_26_1400	 distance:1.52
Box72_1400	 Prev: Box_n50_26_1400	 distance:1.46
Box48_1400	 Prev: Box_n50_5_1400	 distance:1.53
Box_n50_25_1400	 Prev: Box_n50_5_1400	 distance:1.30
Box_n50_47_1400	 Prev: Box_n50_5_1400	 distance:1.07
Box_n50_6_1400	 Prev: Box_n50_43_1400	 distance:0.97
Box_n50_22_1400	 Prev: Box_n50_43_1400	 distance:1.37
Box_n50_32_1400	 Prev: Box_n50_43_1400	 distance:1.00
Box6_1400 	 Prev: Box91_1400	 distance:2.59
Box77_1400	 Prev: Box91_1400	 distance:1.48
Box29_1400	 Prev: Box_n50_49_1400	 distance:1.55
Box20_1400	 Prev: Box56_1400	 distance:1.61
Box32_1400	 Prev: Box56_1400	 distance:1.85
Box64_1400	 Prev: Box_n50_16_1400	 distance:2.17
Box94_1400	 Prev: Box_n50_24_1400	 distance:2.09
Box_n50_11_1400	 Prev: Box_n50_24_1400	 distance:1.02
Box_n50_29_1400	 Prev: Box_n50_24_1400	 distance:0.60
Box_n50_8_1400	 Prev: Box93_1400	 distance:1.27
Box69_1400	 Prev: Box_n50_9_1400	 distance:1.62
Box61_1400	 Prev: Box87_1400	 distance:1.60
Box4_1400 	 Prev: Box_n50_20_1400	 distance:1.27
Box_n50_15_1400	 Prev: Box_n50_20_1400	 distance:1.65
Box_n50_45_1400	 Prev: Box_n50_20_1400	 distance:1.68
Box88_1400	 Prev: Box66_1400	 distance:1.48
Box90_1400	 Prev: Box66_1400	 distance:1.78
Box1_1400 	 Prev: Box72_1400	 distance:1.91
Box92_1400	 Prev: Box72_1400	 distance:1.73
Box7_1400 	 Prev: Box48_1400	 distance:1.12
Box14_1400	 Prev: Box_n50_25_1400	 distance:1.54
Box37_1400	 Prev: Box_n50_47_1400	 distance:1.72
Box_n50_13_1400	 Prev: Box_n50_6_1400	 distance:1.20
Box_n50_2_1400	 Prev: Box_n50_22_1400	 distance:1.13
Box_n50_31_1400	 Prev: Box_n50_32_1400	 distance:1.38
Box_n50_39_1400	 Prev: Box_n50_32_1400	 distance:1.18
Box75_1400	 Prev: Box29_1400	 distance:1.77
Box0_1400 	 Prev: Box_n50_11_1400	 distance:2.21
Box_n50_12_1400	 Prev: Box_n50_11_1400	 distance:0.82
Box62_1400	 Prev: Box_n50_29_1400	 distance:1.12
Box67_1400	 Prev: Box_n50_29_1400	 distance:1.19
Box_n50_4_1400	 Prev: Box_n50_29_1400	 distance:1.17
Box17_1400	 Prev: Box_n50_8_1400	 distance:1.75
Box40_1400	 Prev: Box_n50_8_1400	 distance:1.79
Box55_1400	 Prev: Box61_1400	 distance:1.67
Box52_1400	 Prev: Box4_1400 	 distance:1.59
Box30_1400	 Prev: Box_n50_15_1400	 distance:1.90
Box_n50_7_1400	 Prev: Box_n50_15_1400	 distance:1.64
Box_n50_10_1400	 Prev: Box_n50_15_1400	 distance:1.41
Box_n50_30_1400	 Prev: Box_n50_15_1400	 distance:1.57
Box27_1400	 Prev: Box88_1400	 distance:1.73
Box98_1400	 Prev: Box90_1400	 distance:1.08
Box26_1400	 Prev: Box1_1400 	 distance:0.74
Box44_1400	 Prev: Box1_1400 	 distance:1.51
Box60_1400	 Prev: Box14_1400	 distance:1.92
Box39_1400	 Prev: Box37_1400	 distance:1.63
Box_n50_27_1400	 Prev: Box_n50_13_1400	 distance:1.33
Box42_1400	 Prev: Box_n50_31_1400	 distance:2.13
Box74_1400	 Prev: Box_n50_31_1400	 distance:2.29
Box16_1400	 Prev: Box_n50_39_1400	 distance:1.71
Box15_1400	 Prev: Box_n50_12_1400	 distance:2.06
Box25_1400	 Prev: Box62_1400	 distance:1.25
Box57_1400	 Prev: Box62_1400	 distance:1.31
Box24_1400	 Prev: Box67_1400	 distance:2.52
Box_n50_17_1400	 Prev: Box_n50_4_1400	 distance:1.25
Box_n50_34_1400	 Prev: Box_n50_4_1400	 distance:1.06
Box2_1400 	 Prev: Box40_1400	 distance:1.58
Box10_1400	 Prev: Box40_1400	 distance:2.38
Box47_1400	 Prev: Box52_1400	 distance:1.87
Box99_1400	 Prev: Box30_1400	 distance:2.32
Box_n50_3_1400	 Prev: Box_n50_7_1400	 distance:1.37
Box_n50_41_1400	 Prev: Box_n50_10_1400	 distance:1.68
Box21_1400	 Prev: Box_n50_30_1400	 distance:1.96
Box82_1400	 Prev: Box_n50_30_1400	 distance:1.38
Box45_1400	 Prev: Box27_1400	 distance:2.10
Box96_1400	 Prev: Box27_1400	 distance:2.48
Box89_1400	 Prev: Box98_1400	 distance:1.60
Box51_1400	 Prev: Box26_1400	 distance:3.12
Box79_1400	 Prev: Box44_1400	 distance:1.83
Box34_1400	 Prev: Box_n50_27_1400	 distance:1.39
Box_n50_40_1400	 Prev: Box_n50_27_1400	 distance:1.49
Box18_1400	 Prev: Box16_1400	 distance:1.26
Box28_1400	 Prev: Box16_1400	 distance:1.78
Box19_1400	 Prev: Box25_1400	 distance:1.50
Box41_1400	 Prev: Box25_1400	 distance:1.93
Box53_1400	 Prev: Box25_1400	 distance:1.76
Box76_1400	 Prev: Box25_1400	 distance:2.00
Box36_1400	 Prev: Box57_1400	 distance:1.52
Box95_1400	 Prev: Box57_1400	 distance:1.25
Box97_1400	 Prev: Box_n50_17_1400	 distance:1.51
Box_n50_18_1400	 Prev: Box_n50_17_1400	 distance:1.35
Box9_1400 	 Prev: Box_n50_34_1400	 distance:1.16
Box11_1400	 Prev: Box2_1400 	 distance:0.87
Box49_1400	 Prev: Box47_1400	 distance:1.87
Box23_1400	 Prev: Box_n50_41_1400	 distance:1.58
Box85_1400	 Prev: Box21_1400	 distance:1.97
Box83_1400	 Prev: Box34_1400	 distance:1.66
Box68_1400	 Prev: Box_n50_40_1400	 distance:1.86
Box_n50_48_1400	 Prev: Box_n50_40_1400	 distance:1.49
Box71_1400	 Prev: Box18_1400	 distance:1.73
Box70_1400	 Prev: Box41_1400	 distance:1.22
Box38_1400	 Prev: Box53_1400	 distance:1.46
Box13_1400	 Prev: Box95_1400	 distance:1.50
Box78_1400	 Prev: Box97_1400	 distance:1.05
Box80_1400	 Prev: Box_n50_18_1400	 distance:0.98
Box54_1400	 Prev: Box49_1400	 distance:2.42
Box59_1400	 Prev: Box49_1400	 distance:1.93
Box46_1400	 Prev: Box23_1400	 distance:2.23
Box_n50_23_1400	 Prev: Box23_1400	 distance:1.75
Box12_1400	 Prev: Box85_1400	 distance:2.40
Box86_1400	 Prev: Box71_1400	 distance:1.72
Box31_1400	 Prev: Box78_1400	 distance:2.14
Box65_1400	 Prev: Box78_1400	 distance:1.40
Box43_1400	 Prev: Box80_1400	 distance:1.66
Box22_1400	 Prev: Box54_1400	 distance:2.60
Box58_1400	 Prev: Box46_1400	 distance:2.00
Box81_1400	 Prev: Box46_1400	 distance:2.42
Box50_1400	 Prev: Box86_1400	 distance:1.86
Box84_1400	 Prev: Box50_1400	 distance:1.34
223.913056685138
Running fit for Box_n50_14_1400
Running fit for Box_n50_21_1400
Running fit for Box_n50_33_1400
Running fit for Box_n50_35_1400
Running fit for Box_n50_44_1400
Running fit for Box73_1400
Running fit for Box_n50_36_1400
Running fit for Box_n50_19_1400
Running fit for Box_n50_37_1400
Running fit for Box_n50_42_1400
Running fit for Box_n50_46_1400
Running fit for Box_n50_5_1400
Running fit for Box_n50_43_1400
Running fit for Box3_1400
Running fit for Box_n50_1_1400
Running fit for Box_n50_26_1400
Running fit for Box66_1400
Running fit for Box72_1400
Running fit for Box48_1400
Running fit for Box_n50_25_1400
Running fit for Box_n50_47_1400
Running fit for Box8_1400
Running fit for Box33_1400
Running fit for Box_n50_9_1400
Running fit for Box87_1400
Running fit for Box_n50_20_1400
Running fit for Box_n50_6_1400
Running fit for Box_n50_22_1400
Running fit for Box_n50_32_1400
Running fit for Box91_1400
Running fit for Box_n50_28_1400
Running fit for Box_n50_49_1400
Running fit for Box_n50_16_1400
Running fit for Box_n50_24_1400
Running fit for Box56_1400
Running fit for Box93_1400
Running fit for Box_n50_2_1400
Running fit for Box_n50_31_1400
Running fit for Box_n50_39_1400
Running fit for Box94_1400
Running fit for Box_n50_11_1400
Running fit for Box_n50_29_1400
Running fit for Box69_1400
Running fit for Box4_1400
Running fit for Box_n50_15_1400
Running fit for Box_n50_45_1400
Running fit for Box7_1400
Running fit for Box14_1400
Running fit for Box37_1400
Running fit for Box6_1400
Running fit for Box77_1400
Running fit for Box20_1400
Running fit for Box32_1400
Running fit for Box64_1400
Running fit for Box_n50_8_1400
Running fit for Box88_1400
Running fit for Box90_1400
Running fit for Box92_1400
Running fit for Box_n50_13_1400
Running fit for Box29_1400
Running fit for Box61_1400
Running fit for Box1_1400
Running fit for Box26_1400
Running fit for Box44_1400
Running fit for Box60_1400
Running fit for Box39_1400
Running fit for Box42_1400
Running fit for Box74_1400
Running fit for Box75_1400
Running fit for Box17_1400
Running fit for Box40_1400
Running fit for Box55_1400
Running fit for Box52_1400
Running fit for Box30_1400
Running fit for Box_n50_7_1400
Running fit for Box_n50_10_1400
Running fit for Box_n50_30_1400
Running fit for Box27_1400
Running fit for Box98_1400
Running fit for Box_n50_27_1400
Running fit for Box16_1400
Running fit for Box0_1400
Running fit for Box_n50_12_1400
Running fit for Box62_1400
Running fit for Box67_1400
Running fit for Box_n50_4_1400
Running fit for Box47_1400
Running fit for Box99_1400
Running fit for Box_n50_41_1400
Running fit for Box21_1400
Running fit for Box82_1400
Running fit for Box34_1400
Running fit for Box_n50_40_1400
Running fit for Box18_1400
Running fit for Box28_1400
Running fit for Box15_1400
Running fit for Box25_1400
Running fit for Box57_1400
Running fit for Box24_1400
Running fit for Box_n50_17_1400
Running fit for Box_n50_34_1400
Running fit for Box_n50_3_1400
Running fit for Box45_1400
Running fit for Box96_1400
Running fit for Box2_1400
Running fit for Box10_1400
Running fit for Box89_1400
Running fit for Box51_1400
Running fit for Box79_1400
Running fit for Box49_1400
Running fit for Box85_1400
Running fit for Box11_1400
Running fit for Box95_1400
Running fit for Box97_1400
Running fit for Box_n50_18_1400
Running fit for Box23_1400
Running fit for Box36_1400
Running fit for Box9_1400
Running fit for Box68_1400
Running fit for Box_n50_48_1400
Running fit for Box71_1400
Running fit for Box19_1400
Running fit for Box41_1400
Running fit for Box53_1400
Running fit for Box76_1400
Running fit for Box83_1400
Running fit for Box70_1400
Running fit for Box12_1400
Running fit for Box59_1400
Running fit for Box38_1400
Running fit for Box54_1400
Running fit for Box86_1400
Running fit for Box46_1400
Running fit for Box_n50_23_1400
Running fit for Box13_1400
Running fit for Box78_1400
Running fit for Box80_1400
Running fit for Box22_1400
Running fit for Box58_1400
Running fit for Box81_1400
Running fit for Box43_1400
Running fit for Box65_1400
Running fit for Box50_1400
Running fit for Box31_1400
Running fit for Box84_1400
Iterataive Graph Fitting Traversal Done!
